user_id,item_id,rating
1,1754,1
1,1785,1
1,123,0
1,1548,0
1,1055,1
1,2922,1
1,318,0
1,948,0
1,986,0
1,1142,1
1,1059,1
1,1507,1
2,1778,1
2,379,0
2,342,0
2,2370,1
2,25,0
2,991,0
2,667,1
2,2234,0
2,544,1
2,1621,1
2,40,1
2,2211,1
3,1569,1
3,748,1
3,2482,0
3,2184,1
3,235,0
3,1747,1
3,1407,1
3,2669,0
3,655,1
3,675,1
3,1295,1
3,169,0
4,2661,1
4,1082,1
4,1710,1
4,2053,1
4,766,1
4,2901,1
4,2933,1
4,494,1
4,2073,1
4,1816,1
4,2395,1
4,1358,1
5,2717,1
5,749,1
5,99,1
5,158,1
5,2642,1
5,1251,1
5,1725,1
5,2734,1
5,193,1
5,2067,1
5,498,1
5,2897,1
6,1730,1
6,3054,1
6,1442,1
6,1251,1
6,2143,1
6,681,1
6,2940,1
6,1513,1
6,2581,1
6,2416,1
6,1287,1
6,1627,1
7,2358,1
7,1461,1
7,611,1
7,429,1
7,2046,0
7,2691,0
7,461,1
7,2095,1
7,1104,1
7,2098,1
7,1771,0
7,2195,1
8,1763,0
8,2839,1
8,426,1
8,750,0
8,2024,0
8,1237,1
8,1925,0
8,2516,0
8,354,0
8,835,0
8,38,1
8,2003,0
9,1415,1
9,1300,1
9,2193,0
9,2677,0
9,1839,1
9,1543,1
9,2387,1
9,1984,1
9,1657,1
9,3018,1
9,1712,1
9,484,1
10,2925,1
10,2892,1
10,310,1
10,2894,1
10,2738,1
10,14,1
10,732,1
10,1780,0
10,3059,0
10,321,0
10,1047,1
10,55,1
11,383,0
11,1612,0
11,1821,1
11,3015,0
11,1708,1
11,2002,0
11,2951,1
11,2985,0
11,2306,1
11,1417,1
11,2621,1
11,2285,1
12,2914,1
12,1235,1
12,1525,1
12,400,1
12,2896,0
12,1858,1
12,2955,0
12,2448,1
12,500,1
12,1721,1
12,2998,1
12,2099,1
13,2995,1
13,1267,1
13,601,1
13,1775,1
13,2474,1
13,1089,1
13,142,0
13,1645,1
13,2299,1
13,227,0
13,155,0
13,1601,0
14,2097,1
14,2556,1
14,1342,1
14,2844,0
14,2533,1
14,1279,1
14,2736,0
14,174,1
14,612,1
14,2649,0
14,731,1
14,1805,0
15,1312,1
15,1197,1
15,1792,1
15,407,1
15,1761,1
15,2920,1
15,2882,1
15,689,1
15,2583,1
15,327,1
15,2447,0
15,2390,0
16,364,0
16,60,1
16,1335,0
16,2286,1
16,215,1
16,2435,1
16,1833,0
16,336,0
16,993,0
16,2135,1
16,1748,0
16,2410,1
17,80,0
17,1720,1
17,551,1
17,2804,1
17,476,1
17,166,0
17,530,1
17,791,1
17,2396,1
17,1495,1
17,1317,1
17,3057,0
18,2476,1
18,2868,0
18,2045,1
18,474,1
18,1302,1
18,990,1
18,3016,1
18,1156,1
18,1502,1
18,1550,1
18,2536,1
18,1737,1
19,3062,1
19,1801,1
19,3047,1
19,1127,1
19,980,1
19,98,1
19,1007,1
19,3004,1
