user_id,item_id,rating
1,1738,1
1,318,0
1,1055,1
2,40,1
2,1898,0
2,544,1
3,675,1
3,235,0
3,1295,1
4,2901,1
4,1250,0
4,1082,1
5,1717,1
5,2717,1
5,2897,1
6,1251,1
6,2143,1
6,546,1
7,429,1
7,2877,0
7,2195,1
8,38,1
8,2516,0
8,1925,0
9,1839,1
9,2677,0
9,1543,1
10,2738,1
10,3059,0
10,2892,1
11,1255,1
11,2002,0
11,1612,0
12,1235,1
12,2876,0
12,2099,1
13,2474,1
13,2684,0
13,155,0
14,2533,1
14,857,0
14,2736,0
15,1312,1
15,2390,0
15,407,1
16,215,1
16,1335,0
16,205,1
17,530,1
17,3057,0
17,791,1
18,1737,1
18,954,0
18,1156,1
19,980,1
19,98,1
19,3004,1
20,1429,1
20,1861,0
20,567,1
21,584,1
21,853,0
21,2792,1
22,1428,1
22,365,0
22,724,1
23,634,1
23,534,0
23,1315,1
24,1683,1
24,216,0
24,2016,1
25,1201,1
25,2632,0
25,1496,0
26,2723,1
26,177,0
26,128,0
27,1151,1
27,2521,0
27,1966,1
28,2006,1
28,1853,0
28,184,0
29,556,1
29,348,0
29,2238,1
30,1045,1
30,880,0
30,1745,0
31,2258,1
31,2604,0
31,1848,1
32,480,1
32,319,0
32,1446,1
33,644,1
33,347,0
33,62,1
34,1374,1
34,1975,0
34,598,1
35,1586,1
35,1323,0
35,2344,1
36,2319,1
36,2673,0
36,2356,1
37,1112,1
37,746,0
37,1892,0
38,1080,1
38,2442,0
38,530,0
39,2014,1
39,1080,0
39,530,1
40,1621,1
40,155,0
40,1317,1
41,530,1
41,2195,0
41,2369,0
42,2,1
42,1818,0
42,1738,1
43,2894,1
43,1818,0
43,2,1
44,667,1
44,2,1
44,2193,1
45,471,1
45,113,0
45,1738,1
46,1848,1
46,2894,0
46,1818,1
47,1818,1
47,2193,0
47,1738,1
48,1417,1
48,113,0
48,2,0
49,2193,1
49,1165,0
49,390,1
50,2273,1
50,248,0
50,2894,1
51,667,1
51,1848,0
51,1407,1
52,137,1
52,2046,0
52,1279,1
53,216,1
53,1034,0
53,1279,1
54,948,1
54,3059,0
54,1082,1
55,2206,1
55,948,0
55,1279,1
56,1600,1
56,319,0
56,1546,1
57,1546,1
57,2963,0
57,271,1
58,1365,1
58,2016,0
58,1438,1
59,2963,1
59,1546,0
59,2016,0
60,2121,1
60,3037,0
60,2409,1
61,1388,1
61,2045,0
61,2409,1
62,2583,1
62,2408,0
62,99,1
63,584,1
63,2050,0
63,2045,0
64,1538,1
64,2366,0
64,2352,1
65,2581,1
65,925,0
65,227,0
66,2581,1
66,2358,0
66,750,0
67,880,1
67,250,0
67,1751,1
68,750,1
68,250,0
68,1751,0
69,2481,1
69,1910,0
69,2366,0
70,205,1
70,2677,0
70,925,0
71,461,1
71,1801,0
71,205,1
72,461,1
72,2003,0
72,1730,1
73,1127,1
73,461,0
73,1730,1
74,599,1
74,3042,0
74,1428,1
75,599,1
75,6,0
75,461,1
76,1710,1
76,1802,0
76,2098,1
77,2098,1
77,381,0
77,2306,0
78,1710,1
78,381,0
78,2306,1
79,2161,1
79,1362,1
79,438,1
80,2985,1
80,321,0
80,1007,1
81,2892,1
81,2654,0
81,2695,1
82,2892,1
82,3032,0
82,1254,1
83,739,1
83,2985,0
83,2933,1
84,2892,1
84,1254,0
84,567,1
85,1979,1
85,158,0
85,1980,1
86,1513,1
86,80,0
86,1521,1
87,2789,1
87,1979,0
87,2323,1
88,2734,1
88,347,0
88,1502,1
89,738,1
89,1984,0
89,278,0
90,278,1
90,459,0
90,1780,0
91,278,1
91,1840,0
91,459,0
92,474,1
92,1778,0
92,1223,1
93,993,1
93,749,0
93,1223,1
94,1312,1
94,993,0
94,1311,1
95,474,1
95,2755,0
95,1778,1
96,2745,1
96,749,1
96,1778,1
97,612,1
97,1013,0
97,1273,1
98,559,1
98,55,0
98,612,1
99,426,1
99,1273,0
99,55,1
100,426,1
100,2087,0
100,3054,1
101,598,1
101,2367,0
101,379,0
102,2367,1
102,94,0
102,2448,1
103,675,1
103,534,0
103,1681,1
104,2095,1
104,379,0
104,95,1
105,1681,1
105,25,0
105,2406,1
106,2238,1
106,2482,0
106,766,0
107,556,1
107,769,1
107,93,1
108,2406,1
108,231,0
108,2238,1
109,556,1
109,25,0
109,769,0
110,481,1
110,1496,0
110,644,1
111,2372,1
111,2955,0
111,1940,0
112,2895,1
112,2315,0
112,2372,1
113,1940,1
113,2476,0
113,2955,1
114,208,1
114,2291,0
114,601,1
115,2444,1
115,14,0
115,601,1
116,2285,1
116,2727,0
116,2848,1
117,1201,1
117,208,0
117,2291,1
118,1176,1
118,857,0
118,1112,1
119,2989,1
119,364,0
119,1112,1
120,2144,1
120,235,0
120,1340,1
121,969,1
121,2144,0
121,235,1
122,2299,1
122,756,0
122,681,1
123,1342,1
123,1247,0
123,2552,1
124,699,1
124,864,0
124,980,0
125,1601,1
125,681,0
125,429,0
126,681,1
126,2736,1
126,429,1
127,1487,1
127,310,0
127,1247,0
128,177,1
128,1352,1
128,1359,1
129,1683,1
129,2877,0
129,1785,1
130,2202,1
130,2877,1
130,2167,1
131,1435,1
131,1816,0
131,634,0
132,767,1
132,1627,0
132,3018,1
133,3018,1
133,1543,0
133,767,1
134,767,1
134,2340,0
134,1352,0
135,3018,1
135,1352,0
135,1435,1
136,476,1
136,336,0
136,2877,1
137,557,1
137,887,0
137,2303,0
138,2167,1
138,887,0
138,2780,0
139,2288,1
139,887,0
139,2303,1
140,845,1
140,1982,0
140,1197,0
141,476,1
141,1872,0
141,2447,1
142,2882,1
142,1816,0
142,1341,1
143,2202,1
143,1892,0
143,98,1
144,2995,1
144,142,0
144,3047,0
145,414,1
145,142,0
145,421,1
146,184,1
146,2995,0
146,1454,0
147,2668,1
147,2995,0
147,2940,1
148,560,1
148,1454,0
148,2089,1
149,184,1
149,46,0
149,2435,0
150,2634,1
150,2435,0
150,2669,1
151,118,1
151,2669,0
151,780,1
152,39,1
152,136,0
152,2604,0
153,2810,1
153,2634,0
153,39,1
154,186,1
154,2634,0
154,1775,1
155,186,1
155,1853,0
155,1939,0
156,39,1
156,1853,0
156,186,1
157,136,1
157,791,0
157,1500,0
158,1518,1
158,1500,1
158,1853,1
159,2184,1
159,1922,0
159,2412,1
160,1657,1
160,2184,0
160,1518,1
161,1898,1
161,1315,0
161,1871,1
162,1567,1
162,1871,0
162,773,0
163,1567,1
163,2097,0
163,32,1
