Target ID,Comparison ID,Similarity Score
193.0,193.0,1.0000005
2677.0,2677.0,1.0000005
2135.0,2135.0,1.0000005
1816.0,1816.0,1.0000005
1341.0,1341.0,1.0000005
2933.0,2933.0,1.0000005
3037.0,3037.0,1.0000005
380.0,380.0,1.0000004
1254.0,1254.0,1.0000004
1628.0,1628.0,1.0000004
205.0,205.0,1.0000004
1833.0,1833.0,1.0000004
1657.0,1657.0,1.0000004
1302.0,1302.0,1.0000004
2448.0,2448.0,1.0000004
271.0,271.0,1.0000004
2476.0,2476.0,1.0000004
166.0,166.0,1.0000002
2219.0,2219.0,1.0000002
2211.0,2211.0,1.0000002
1683.0,1683.0,1.0000002
1839.0,1839.0,1.0000002
2736.0,2736.0,1.0000002
216.0,216.0,1.0000002
732.0,732.0,1.0000002
1235.0,1235.0,1.0000002
645.0,645.0,1.0000002
1255.0,1255.0,1.0000002
1588.0,1588.0,1.0000002
2114.0,2114.0,1.0000002
1785.0,1785.0,1.0000002
2896.0,2896.0,1.0000002
2789.0,2789.0,1.0000002
2341.0,2341.0,1.0000002
2299.0,2299.0,1.0000002
2457.0,2457.0,1.0000002
780.0,780.0,1.0000002
1627.0,1627.0,1.0000002
2408.0,2408.0,1.0000002
1724.0,1724.0,1.0000002
1500.0,1500.0,1.0000002
2167.0,2167.0,1.0000002
298.0,298.0,1.0000002
2832.0,2832.0,1.0000002
1645.0,1645.0,1.0000002
1521.0,1521.0,1.0000002
142.0,142.0,1.0000002
629.0,629.0,1.0000002
32.0,32.0,1.0000002
601.0,601.0,1.0000002
1038.0,1038.0,1.0000002
1340.0,1340.0,1.0000002
542.0,542.0,1.0000002
453.0,453.0,1.0000002
1280.0,1280.0,1.0000002
2951.0,2951.0,1.0000002
2738.0,2738.0,1.0000002
1273.0,1273.0,1.0000002
2344.0,2344.0,1.0000002
2006.0,2006.0,1.0000002
857.0,857.0,1.0000002
155.0,155.0,1.0000002
1691.0,1691.0,1.0000002
2787.0,2787.0,1.0000002
2412.0,2412.0,1.0000002
2405.0,2405.0,1.0000002
2238.0,2238.0,1.0000002
319.0,319.0,1.0000002
1415.0,1415.0,1.0000002
1751.0,1751.0,1.0000002
364.0,364.0,1.0000002
1638.0,1638.0,1.0000002
2030.0,2030.0,1.0000002
1821.0,1821.0,1.0000002
1339.0,1339.0,1.0000002
1891.0,1891.0,1.0000002
557.0,557.0,1.0000002
2192.0,2192.0,1.0000002
1642.0,1642.0,1.0000002
2416.0,2416.0,1.0000002
2669.0,2669.0,1.0000002
2313.0,2313.0,1.0000002
1308.0,1308.0,1.0000002
1600.0,1600.0,1.0000002
954.0,954.0,1.0000002
865.0,865.0,1.0000002
1365.0,1365.0,1.0000002
2742.0,2742.0,1.0000002
390.0,390.0,1.0000002
1407.0,1407.0,1.0000002
2702.0,2702.0,1.0000002
1881.0,1881.0,1.0000002
1078.0,1078.0,1.0000002
2937.0,2937.0,1.0000002
2516.0,2516.0,1.0000002
1869.0,1869.0,1.0000002
1247.0,1247.0,1.0000002
1496.0,1496.0,1.0000002
38.0,38.0,1.0000002
402.0,402.0,1.0000002
248.0,248.0,1.0000002
1644.0,1644.0,1.0000002
1007.0,1007.0,1.0000002
2097.0,2097.0,1.0000002
2914.0,2914.0,1.0000002
644.0,644.0,1.0000002
1840.0,1840.0,1.0000002
835.0,835.0,1.0000002
2673.0,2673.0,1.0000002
1442.0,1442.0,1.0000002
25.0,25.0,1.0000001
2137.0,2137.0,1.0000001
3059.0,3059.0,1.0000001
2315.0,2315.0,1.0000001
599.0,599.0,1.0000001
2634.0,2634.0,1.0000001
2144.0,2144.0,1.0000001
55.0,55.0,1.0000001
94.0,94.0,1.0000001
3068.0,3068.0,1.0000001
1550.0,1550.0,1.0000001
2751.0,2751.0,1.0000001
1374.0,1374.0,1.0000001
93.0,93.0,1.0000001
2435.0,2435.0,1.0000001
2792.0,2792.0,1.0000001
1279.0,1279.0,1.0000001
1726.0,1726.0,1.0000001
2390.0,2390.0,1.0000001
1323.0,1323.0,1.0000001
2804.0,2804.0,1.0000001
476.0,476.0,1.0000001
1686.0,1686.0,1.0000001
986.0,986.0,1.0000001
655.0,655.0,1.0000001
494.0,494.0,1.0000001
1427.0,1427.0,1.0000001
336.0,336.0,1.0000001
612.0,612.0,1.0000001
773.0,773.0,1.0000001
674.0,674.0,1.0000001
1091.0,1091.0,1.0000001
2206.0,2206.0,1.0000001
327.0,327.0,1.0000001
1543.0,1543.0,1.0000001
2654.0,2654.0,1.0000001
1428.0,1428.0,1.0000001
1429.0,1429.0,1.0000001
2387.0,2387.0,1.0000001
2134.0,2134.0,1.0000001
231.0,231.0,1.0000001
2556.0,2556.0,1.0000001
990.0,990.0,1.0000001
611.0,611.0,1.0000001
6.0,6.0,1.0000001
3062.0,3062.0,1.0000001
560.0,560.0,1.0000001
2356.0,2356.0,1.0000001
2111.0,2111.0,1.0000001
1979.0,1979.0,1.0000001
2719.0,2719.0,1.0000001
1358.0,1358.0,1.0000001
2442.0,2442.0,1.0000001
2839.0,2839.0,1.0000001
2560.0,2560.0,1.0000001
2985.0,2985.0,1.0000001
278.0,278.0,1.0000001
2366.0,2366.0,1.0000001
996.0,996.0,1.0000001
1848.0,1848.0,1.0000001
689.0,689.0,1.0000001
2159.0,2159.0,1.0000001
1984.0,1984.0,1.0000001
1861.0,1861.0,1.0000001
1461.0,1461.0,1.0000001
177.0,177.0,1.0000001
39.0,39.0,1.0000001
769.0,769.0,1.0000001
169.0,169.0,1.0000001
459.0,459.0,1.0000001
731.0,731.0,1.0000001
1778.0,1778.0,1.0000001
95.0,95.0,1.0000001
310.0,310.0,1.0000001
128.0,128.0,1.0000001
2740.0,2740.0,1.0000001
1538.0,1538.0,1.0000001
347.0,347.0,1.0000001
2195.0,2195.0,1.0000001
1720.0,1720.0,1.0000001
2161.0,2161.0,1.0000001
1317.0,1317.0,1.0000001
756.0,756.0,1.0000001
348.0,348.0,1.0000001
2367.0,2367.0,1.0000001
1892.0,1892.0,1.0000001
340.0,340.0,1.0000001
158.0,158.0,1.0
464.0,464.0,1.0
2302.0,2302.0,1.0
342.0,342.0,1.0
1975.0,1975.0,1.0
2745.0,2745.0,1.0
980.0,980.0,1.0
415.0,415.0,1.0
40.0,40.0,1.0
